"","spid","chid","stkc","stkc_unit","tested_conc_unit"
"141","EPAPLT0199D09",44494,19.9997997283936,"mM","uM"
"142","EPAPLT0199D10",24944,19.9997997283936,"mM","uM"
"143","EPAPLT0199D11",21290,20.0002994537354,"mM","uM"
"144","EPAPLT0199D12",44774,19.9995002746582,"mM","uM"
"145","EPAPLT0199E01",29317,20.0006999969482,"mM","uM"
"146","EPAPLT0199E02",52488,20,"mM","uM"
"147","EPAPLT0199E03",22043,19.9997005462646,"mM","uM"
"148","EPAPLT0199E04",20376,5.00011014938354,"mM","uM"
"149","EPAPLT0199E05",21937,19.9997997283936,"mM","uM"
"150","EPAPLT0199E06",22489,20.005199432373,"mM","uM"
"151","EPAPLT0199E07",21138,19.9902992248535,"mM","uM"
"152","EPAPLT0199E08",27770,20,"mM","uM"
"153","EPAPLT0199E09",44764,20.0002994537354,"mM","uM"
"154","EPAPLT0199E10",25145,20.5251007080078,"mM","uM"
"155","EPAPLT0199E11",47620,19.9997997283936,"mM","uM"
"156","EPAPLT0199E12",40701,19.9995994567871,"mM","uM"
"157","EPAPLT0199F01",26811,19.9974994659424,"mM","uM"
"158","EPAPLT0199F02",25922,20.0002994537354,"mM","uM"
"159","EPAPLT0199F03",25892,20,"mM","uM"
"160","EPAPLT0199F04",21904,10.6646995544434,"mM","uM"
"161","EPAPLT0199F05",41413,19.9997997283936,"mM","uM"
"162","EPAPLT0199F06",21402,20.7994995117188,"mM","uM"
"163","EPAPLT0199F07",35175,20,"mM","uM"
"164","EPAPLT0199F08",21152,19.9997005462646,"mM","uM"
"165","EPAPLT0199F09",44506,19.9841003417969,"mM","uM"
"166","EPAPLT0199F10",44927,20.0004997253418,"mM","uM"
"167","EPAPLT0199F11",21375,20,"mM","uM"
"168","EPAPLT0199F12",20332,20,"mM","uM"
"169","EPAPLT0199G01",23588,19.2672996520996,"mM","uM"
"170","EPAPLT0199G02",44374,20.0002994537354,"mM","uM"
"171","EPAPLT0199G03",37551,20,"mM","uM"
"172","EPAPLT0199G04",27284,19.9997005462646,"mM","uM"
"173","EPAPLT0199G05",27292,20,"mM","uM"
"174","EPAPLT0199G06",41280,20,"mM","uM"
"175","EPAPLT0199G07",23430,20.0004005432129,"mM","uM"
"176","EPAPLT0199G08",21251,20,"mM","uM"
"177","EPAPLT0199G09",24254,20.0002002716064,"mM","uM"
"178","EPAPLT0199G10",27206,20,"mM","uM"
"179","EPAPLT0199G11",47644,19.9997005462646,"mM","uM"
"180","EPAPLT0199G12",26645,20,"mM","uM"
"181","EPAPLT0199H01",44831,20.0002994537354,"mM","uM"
"182","EPAPLT0199H02",27246,19.9867992401123,"mM","uM"
"183","EPAPLT0199H03",20516,20,"mM","uM"
"184","EPAPLT0199H04",23541,20.0002002716064,"mM","uM"
"185","EPAPLT0199H05",21980,20,"mM","uM"
"186","EPAPLT0199H06",29217,20.0088005065918,"mM","uM"
"187","EPAPLT0199H07",20091,20,"mM","uM"
"188","EPAPLT0199H08",44463,19.9997997283936,"mM","uM"
"189","EPAPLT0199H09",20371,20,"mM","uM"
"190","EPAPLT0199H10",26499,20.0006008148193,"mM","uM"
"191","EPAPLT0199H11",22016,19.9946002960205,"mM","uM"
"192","EPAPLT0199H12",22520,20,"mM","uM"
"193","EPAPLT0200A01",27266,20,"mM","uM"
"194","EPAPLT0200A02",20143,20.511999130249,"mM","uM"
"195","EPAPLT0200A03",21683,20.0004005432129,"mM","uM"
"196","EPAPLT0200A04",29153,19.9995002746582,"mM","uM"
"197","EPAPLT0200A05",21804,20,"mM","uM"
"198","EPAPLT0200A06",24624,19.9997005462646,"mM","uM"
"199","EPAPLT0200A07",20978,20,"mM","uM"
"200","EPAPLT0200A08",47654,19.9995002746582,"mM","uM"
"201","EPAPLT0200A09",27589,20.0002002716064,"mM","uM"
"202","EPAPLT0200A10",26562,20.0002994537354,"mM","uM"
"203","EPAPLT0200A11",44495,19.9997997283936,"mM","uM"
"204","EPAPLT0200A12",21871,20,"mM","uM"
"205","EPAPLT0200B01",20062,20,"mM","uM"
"206","EPAPLT0200B02",21863,20.6499004364014,"mM","uM"
"207","EPAPLT0200B03",44922,20,"mM","uM"
"208","EPAPLT0200B04",22137,20.0014991760254,"mM","uM"
"209","EPAPLT0200B05",21735,20,"mM","uM"
"210","EPAPLT0200B06",20862,20,"mM","uM"
"211","EPAPLT0200B07",26997,19.9997997283936,"mM","uM"
"212","EPAPLT0200B08",47003,20.7509002685547,"mM","uM"
"213","EPAPLT0200B09",20256,20,"mM","uM"
"214","EPAPLT0200B10",20241,19.9986991882324,"mM","uM"
"215","EPAPLT0200B11",52655,20.0006008148193,"mM","uM"
"216","EPAPLT0200B12",24922,20.0072994232178,"mM","uM"
"217","EPAPLT0200C01",23235,20,"mM","uM"
"218","EPAPLT0200C02",20151,20,"mM","uM"
"219","EPAPLT0200C03",22333,20,"mM","uM"
"220","EPAPLT0200C04",32389,20,"mM","uM"
"221","EPAPLT0200C05",29612,20.6256999969482,"mM","uM"
"222","EPAPLT0200C06",22557,19.9843997955322,"mM","uM"
"223","EPAPLT0200C07",41436,19.9995994567871,"mM","uM"
"224","EPAPLT0200C08",44746,20.888500213623,"mM","uM"
"225","EPAPLT0200C09",44347,20.5090007781982,"mM","uM"
"226","EPAPLT0200C10",40635,20,"mM","uM"
"227","EPAPLT0200C11",32623,20,"mM","uM"
"228","EPAPLT0200C12",34972,20,"mM","uM"
"229","EPAPLT0200D01",51557,20,"mM","uM"
"230","EPAPLT0200D02",21491,19.9986991882324,"mM","uM"
"231","EPAPLT0200D03",44357,20,"mM","uM"
"232","EPAPLT0200D04",34005,20.0090999603271,"mM","uM"
"233","EPAPLT0200D05",20106,19.9997005462646,"mM","uM"
"234","EPAPLT0200D06",21836,20,"mM","uM"
"235","EPAPLT0200D07",47068,20,"mM","uM"
"236","EPAPLT0200D08",47061,20.0002994537354,"mM","uM"
"237","EPAPLT0200D09",22180,20,"mM","uM"
"238","EPAPLT0200D10",22164,20,"mM","uM"
"239","EPAPLT0200D11",26912,20,"mM","uM"
"240","EPAPLT0200D12",21897,19.9962005615234,"mM","uM"
"241","EPAPLT0200E01",44352,20,"mM","uM"
"242","EPAPLT0200E02",46666,19.9995002746582,"mM","uM"
"243","EPAPLT0200E03",36646,20.0002994537354,"mM","uM"
"244","EPAPLT0200E04",44427,19.9906997680664,"mM","uM"
"245","EPAPLT0200E05",21807,19.9955005645752,"mM","uM"
"246","EPAPLT0200E06",47749,20,"mM","uM"
"247","EPAPLT0200E07",42151,19.9993991851807,"mM","uM"
"248","EPAPLT0200E08",20233,19.9993991851807,"mM","uM"
"249","EPAPLT0200E09",40703,20,"mM","uM"
"250","EPAPLT0200E10",20494,19.9988994598389,"mM","uM"
"251","EPAPLT0200E11",40700,20,"mM","uM"
"252","EPAPLT0200E12",44435,20.0004005432129,"mM","uM"
"253","EPAPLT0200F01",44997,20,"mM","uM"
"254","EPAPLT0200F02",20144,19.9997005462646,"mM","uM"
"255","EPAPLT0200F03",41675,20,"mM","uM"
"256","EPAPLT0200F04",27963,20,"mM","uM"
"257","EPAPLT0200F05",20278,19.9965000152588,"mM","uM"
"258","EPAPLT0200F06",21666,20,"mM","uM"
"259","EPAPLT0200F07",21629,20.1665000915527,"mM","uM"
"260","EPAPLT0200F08",27512,20,"mM","uM"
"261","EPAPLT0200F09",42382,20,"mM","uM"
"262","EPAPLT0200F10",21130,19.9909000396729,"mM","uM"
"263","EPAPLT0200F11",29124,20,"mM","uM"
"264","EPAPLT0200F12",24591,20.0009002685547,"mM","uM"
"265","EPAPLT0200G01",26238,20,"mM","uM"
"266","EPAPLT0200G02",47593,20,"mM","uM"
"267","EPAPLT0200G03",21590,20,"mM","uM"
"268","EPAPLT0200G04",26647,20,"mM","uM"
"269","EPAPLT0200G05",21604,20.0006999969482,"mM","uM"
"270","EPAPLT0200G06",44392,20,"mM","uM"
"271","EPAPLT0200G07",41812,20.0002994537354,"mM","uM"
"272","EPAPLT0200G08",27181,20,"mM","uM"
"273","EPAPLT0200G09",44464,19.9997005462646,"mM","uM"
"274","EPAPLT0200G10",44808,19.9997005462646,"mM","uM"
"275","EPAPLT0200G11",47769,19.9997005462646,"mM","uM"
"276","EPAPLT0200G12",42369,19.9976005554199,"mM","uM"
"277","EPAPLT0200H01",21892,19.9981994628906,"mM","uM"
"278","EPAPLT0200H02",29600,20.0004997253418,"mM","uM"
"279","EPAPLT0200H03",21907,19.9811000823975,"mM","uM"
"280","EPAPLT0200H04",27454,20,"mM","uM"
"281","EPAPLT0200H05",29692,19.9885997772217,"mM","uM"
"282","EPAPLT0200H06",44363,20,"mM","uM"
"283","EPAPLT0200H07",44727,19.9997005462646,"mM","uM"
"284","EPAPLT0200H08",27267,20,"mM","uM"
"285","EPAPLT0200H09",44890,20,"mM","uM"
"286","EPAPLT0200H10",44822,20,"mM","uM"
"287","EPAPLT0200H11",21136,20.0004997253418,"mM","uM"
"288","EPAPLT0200H12",22446,19.9993991851807,"mM","uM"
"289","EPAPLT0201A01",44821,20,"mM","uM"
"290","EPAPLT0201A02",22679,20.0002994537354,"mM","uM"
"291","EPAPLT0201A03",29677,20,"mM","uM"
"292","EPAPLT0201A04",21602,19.9997997283936,"mM","uM"
"293","EPAPLT0201A05",20929,20.961799621582,"mM","uM"
"294","EPAPLT0201A06",27134,20,"mM","uM"
"295","EPAPLT0201A07",34259,19.9955997467041,"mM","uM"
"296","EPAPLT0201B01",20920,20,"mM","uM"
"297","EPAPLT0201B02",20266,20,"mM","uM"
"298","EPAPLT0201B03",21553,20,"mM","uM"
"299","EPAPLT0201B04",21639,20,"mM","uM"
